Journal;APA full;APA partly;ASA;ASA partly;Chicago full;Chicago partly;Harvard full;Harvard partly;Oxford; Style Manual for Authors, Editors and Printers;Other;Own;Multiple required;Multiple required (including full APA manual);Multiple options (one must be chosen);Multiple allowed;Unknown;Use external guidelines ;Link;Other information;
Acta Sociologica;;;;;;;;1;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/journal/acta-sociologica#submission-guidelines;Acta Sociologica adheres to the SAGE Harvard reference style.;
Agriculture and Human Values;;;;;;;;;;;1;;;;;;;0;https://www.springer.com/journal/10460/submission-guidelines ;;
American Journal of Economics and Sociology;;;;;;;;;;;1;;;;;;;0;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1536-7150/homepage/ForAuthors.html;;
American Journal of Sociology;;;;;;;;;;;;1;;;;;;0;http://www.journals.uchicago.edu/journals/ajs/instruct;These general guidelines for the preparation of text should be used whether you plan to submit an electronic file via the Web portal or to send paper or electronic copies to the editorial office (see below). | AJS format requirements;
American Sociological Review;;;1;;;;;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/american-sociological-review/journal201969#submission-guidelines;Additional details on preparing manuscripts for ASR are published in the ASA Style Guide (4th ed., 2010) available from the American Sociological Association;
Annals of Tourism Research;;1;;;;;;;;;;;;;;;;1;https://www.elsevier.com/journals/annals-of-tourism-research/0160-7383/guide-for-authors;Annals follows the referencing style of the American Psychological Association (APA). For full guidelines please consult the Publication Manual of the American Psychological Association (Fifth Edition), ISBN 1-55798-790-4.;
Annual Review of Law and Social Science;;;;;;;;;;;;;1;;;;;1;http://www.annualreviews.org/page/authors/general-information#lawsocsci;"The following Annual Reviews use the unnumbered, name and year (Harvard) bibliographic style: Anthropology; Astronomy and Astrophysics; Cancer Biology; Cell and Developmental Biology; Clinical Psychology; Criminology; Earth and Planetary Sciences; Ecology, Evolution, and Systematics; Economics; Financial Economics; Fluid Mechanics; Food Science and Technology; Law and Social Science; Linguistics; Marine Science; Neuroscience; Organizational Psychology and Organizational Behavior; Political Science; Psychology; Resource Economics; Sociology; Statistics and Its Application; and Vision Science. |  The style manuals to which we refer at Annual Reviews include Webster’s Dictionary, The Chicago Manual of Style (University of Chicago Press), and Council of Science Editors’ Scientific Style and Format. | www.annualreviews.org/pb-assets/Authors%20Assets/AuthorHandbook-Harvard.pdf";
Annual Review of Sociology;;;;;;;;;;;;;1;;;;;1;http://www.annualreviews.org/page/authors/general-information#soc;"The following Annual Reviews use the unnumbered, name and year (Harvard) bibliographic style: Anthropology; Astronomy and Astrophysics; Cancer Biology; Cell and Developmental Biology; Clinical Psychology; Criminology; Earth and Planetary Sciences; Ecology, Evolution, and Systematics; Economics; Financial Economics; Fluid Mechanics; Food Science and Technology; Law and Social Science; Linguistics; Marine Science; Neuroscience; Organizational Psychology and Organizational Behavior; Political Science; Psychology; Resource Economics; Sociology; Statistics and Its Application; and Vision Science. |  The style manuals to which we refer at Annual Reviews include Webster’s Dictionary, The Chicago Manual of Style (University of Chicago Press), and Council of Science Editors’ Scientific Style and Format. | www.annualreviews.org/pb-assets/Authors%20Assets/AuthorHandbook-Harvard.pdf";
Anthrozoös;;1;;;;;;;;;;;;;;;;1;www.tandfonline.com/action/authorSubmission?journalCode=rfan20&page=instructions;Please see the journal reference guide: http://www.tandf.co.uk/journals/authors/style/reference/tf_APA.pdf.;
Archives Européennes de Sociologie;;;;;;1;;;;;;;;;;;;1;https://www.cambridge.org/core/journals/european-journal-of-sociology-archives-europeennes-de-sociologie/information/instructions-contributors;Referencing should be in accordance with the Chicago Manual of Style.| assets.cambridge.org/EUR/EUR_ifc.pdf;
Armed Forces and Society;1;;;;;;;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/armed-forces-society/journal201730#submission-guidelines;Manuscripts submitted to Armed Forces & Society (AF&S) should strictly follow the APA manual (6th edition);
Berliner Journal für Soziologie;;;;;;;;;;;1;;;;;;;0;www.springer.com/journal/11609/submission-guidelines ;;
Biodemography and Social Biology;;;;;1;;;;;;;;;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hsbi20;References, citations, and general style of manuscripts should be prepared in accordance with the Chicago Manual of Style, 16th ed.;
Body & Society;;;;;;;;;;;;;1;;;;;1;https://us.sagepub.com/en-us/nam/journal/body-society#submission-guidelines;To ensure that our referencing system is consistent with other SAGE journals, B&S has now switched to the Harvard system (with the exception that we now ask for full first names in the reference list).| In all cases review articles must conform to the B&S house style (which is detailed below). | References to other publications should follow the B&S house style outlined earlier in this document. | Authors should carefully check that the final version of their manuscript conforms to the B&S house style as specified in the Notes for Contributors. These can be found by hitting the Instructions and Forms button which is available on each page of the B&S Manuscript Central website. | https://us.sagepub.com/en-us/nam/manuscript-submission-guidelines#PreparingYourManuscript;
British Journal of Sociology;;;;;;;;1;;;;;;;;;;1;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-4446/homepage/ForAuthors.html;The Journal uses the Harvard version of the author–date system for bibliographical references where the author and year of publication appear in the text and the full reference appears in a ‘Bibliography’ section at the end of the article. ;
British Journal of Sociology of Education;;;;;;;;;;;;;1;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=cbse20#Style_guidelines;Please use this reference guide when preparing your paper. | www.tandf.co.uk/journals/authors/style/reference/tf_ChicagoAD.pdf | Please refer to these quick style guidelines when preparing your paper, rather than any published articles or a sample copy. | https://authorservices.taylorandfrancis.com/tf_quick_guide/#;
Canadian Journal of Sociology/Cahiers Canadienne de Sociologie;;;;;;;;;;;1;;;;;;;0;https://journals.library.ualberta.ca/cjs/index.php/cjs/about/submissions#authorGuidelines;;
Canadian Review of Sociology/Revue canadienne de sociologie;;;;;;;;;;;1;;;;;;;0;onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-618X/homepage/CARS_Author_Guidelines_12.20.17.pdf;;
Chinese Sociological Review;;;;;;;;;;;;;1;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=mcsa20&;Chinese Sociological Review uses the in-text author-date citation system and other style conventions presented in the American Sociological Association’s Quick Style Guide .| Please refer to these quick style guidelines when preparing your paper, rather than any published articles or a sample copy.  | https://authorservices.taylorandfrancis.com/tf_quick_guide/ | Please use this reference guide when preparing your paper. | https://www.tandf.co.uk//journals/authors/style/reference/tf_ChicagoAD.pdf;
City & Community;;;;;;;;;;;1;;;;;;;0;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6040/homepage/ForAuthors.html;;
Comparative Studies in Society and History;;;;;1;;;;;;;;;;;;;1; https://cssh.lsa.umich.edu/guidelines/;"The journal’s style is based on The Chicago Manual of Style (16th ed.); Merriam-Webster’s Collegiate Dictionary (11th ed.) is regarded as the authoritative guide to spelling and usage.";
Contemporary Sociology - A Journal of Reviews;;;;;;;;;;;1;;;;;;;0;https://us.sagepub.com/en-us/nam/contemporary-sociology/journal201970#submission-guidelines;Information is available under 'submission guidelines', but it does not seem to concern rules or advice on how to present (certain aspects of) a manuscript.;
Contributions to Indian Sociology;;;;;;1;;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/contributions-to-indian-sociology/journal200929#submission-guidelines;We follow the Chicago Manual of Style, 16th edition in the formatting of the reference details.;
Convergencia - Revista de Ciencias Sociales;;;;;;;;1;;;;;;;;;;1;https://convergencia.uaemex.mx/about/submissions;Citation must use Harvard style, according to the following examples:;
Cornell Hospitality Quarterly;;;;;;;;;;;;;;1;;;;1;https://us.sagepub.com/en-us/nam/cornell-hospitality-quarterly/journal201681#submission-guidelines;However, conditionally accepted manuscripts must be prepared in accordance with the current Publication Manual of the American Psychological Association, SAGE Publications, and Cornell Hospitality Quarterly Style Guide. |  https://journals.sagepub.com/pb-assets/cmscontent/CQX/CQstyleguide.pdf ;
Crime, Media, Culture;;;;;;;;1;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/journal/crime-media-culture#submission-guidelines;Crime Media Culture adheres to the SAGE Harvard reference style.;
Critical Sociology;;;;;;;1;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/journal/critical-sociology#ReportingGuidelines;Critical Sociology adheres to the SAGE Harvard reference style, with an exception to style regarding citing US publications. References citing US publications should include the 2-letter US state acronym for the publisher. View the SAGE Harvard guidelines to ensure your manuscript conforms to this reference style.;
Cultural Sociology;;;;;;;;;;;;;1;;;;;1;https://us.sagepub.com/en-us/nam/journal/cultural-sociology#submission-guidelines;For guidance on the preparation of illustrations, pictures and graphs in electronic format, please visit SAGE’s Manuscript Submission Guidelines | https://us.sagepub.com/en-us/nam/manuscript-submission-guidelines | For further information on Reference style, please consult the SAGE Style Guide. | https://studysites.uk.sagepub.com/repository/binaries/pdf/SAGE_UK_style_guide_short.pdf ;
Current Perspectives in Social Theory;;1;;;;;;;;;;;;;;;;1;http://www.emeraldgrouppublishing.com/products/ebooks/author_guidelines.htm;References to other publications must be in APA 6th Edition reference style;
Current Sociology;;;;;;;;;;;;;1;;;;;1;https://us.sagepub.com/en-us/nam/journal/current-sociology#submission-guidelines;Current Sociology adheres to the SAGE Harvard reference style. | Current Sociology conforms to the SAGE house style. | https://www.sagepub.com/sites/default/files/SAGE_UK_style_guide_short.pdf | https://uk.sagepub.com/sites/default/files/sage_harvard_reference_style_0.pdf;
Déviance et Société;;;;;;;;;;;1;;;;;;;0;https://boutique.revmed.ch/deviance-societe#xd_co_f=MzczMjE2MDMtN2YxMC00MmY1LWE5MGItMTE0OTlkYjdlZjJj~;;
Deviant Behavior;;;;1;;;;;;;;;;;;;;1;http://www.tandfonline.com/action/authorSubmission?journalCode=udbh20&page=instructions;They should be listed in alphabetical order and follow the current American Sociological Review style.;
Discourse & Society;;;;;;;1;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/discourse-society/journal200873%20#submission-guidelines;For guidance on the preparation of illustrations, pictures and graphs in electronic format, please visit SAGE’s Manuscript Submission Guidelines. | https://us.sagepub.com/en-us/nam/manuscript-submission-guidelines | Discourse & Society adheres to the SAGE Harvard reference style. | http://www.uk.sagepub.com/repository/binaries/pdf/SAGE_Harvard_reference_style.pdf (does not work) | https://uk.sagepub.com/sites/default/files/sage_harvard_reference_style_0.pdf (works);
Društvena istraživanja;;1;;;;;;;;;;;;;;;;1;http://drustvena-istrazivanja.pilar.hr/index.php/drustvena-istrazivanja/pages/view/author ;4. The journal uses APA style (http://www.apastyle.org/) to format references in the text and bibliography.;
Du Bois Review: Social Science Research on Race;;;;;;;;;;;;;1;;;;;1;https://www.cambridge.org/core/journals/du-bois-review-social-science-research-on-race/information/instructions-contributors;Final manuscripts must be prepared in accordance with the DBR style sheet (found here). and the Chicago Manual of Style. | https://www.cambridge.org/core/services/aop-file-manager/file/576c0a6c14d6301a2887c0e7;
Eastern European Countryside;;;;;;;;;;;1;;;;;;;0;http://www.eec.umk.pl/for-contributors/submission-of-manuscripts/;;
Economic and Social Review;;;;;;;;;;;1;;;;;;;0;http://www.esr.ie/about/submissions#authorGuidelines;;
Economy and Society;;1;;;;;;;;;;;;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=reso20;Please refer to these style guidelines when preparing your paper, rather than any published articles or a sample copy. | https://www.tandf.co.uk//journals/authors/style/layout/style_reso.pdf | Please use both the APA reference style and this reference style guide when preparing your paper. | https://www.tandf.co.uk//journals/authors/style/reference/tf_APA.pdf | ;
Ethnic and Racial Studies;;;;;;;;;;;1;;;;;;;0;http://www.tandfonline.com/action/authorSubmission?journalCode=rers20&page=instructions#mp_general;There are no strict formatting requirements, but all manuscripts must contain the essential elements needed to evaluate a manuscript: abstract, keywords, figures, tables, references. Further details such as affiliation and funder information will be requested upon acceptance. | References can be in any style or format, so long as a consistent scholarly citation format is applied. Author name(s), journal or book title, article or chapter title, year of publication, volume and issue (where appropriate) and page numbers are essential. | The journal reference style will be applied to the paper post-acceptance by Taylor & Francis.;
Ethnography;;;;;;;;;;;;;1;;;;;1;https://us.sagepub.com/en-us/nam/journal/ethnography#submission-guidelines;For guidance on the preparation of illustrations, pictures and graphs in electronic format, please visit SAGE’s Manuscript Submission Guidelines  | https://us.sagepub.com/en-us/nam/manuscript-submission-guidelines | Ethnography adheres to the SAGE Harvard reference style. | When formatting your references, please ensure you check the reference style followed by your chosen journal. Here are quick links to the SAGE Harvard reference style, the SAGE Vancouver reference style and the APA reference style.;
European Journal of Social Theory;;;;;;;;;;;;;1;;;;;1;https://us.sagepub.com/en-us/nam/journal/european-journal-social-theory#submission-guidelines;For guidance on the preparation of illustrations, pictures and graphs in electronic format, please visit SAGE’s Manuscript Submission Guidelines  | https://us.sagepub.com/en-us/nam/manuscript-submission-guidelines | European Journal of Social Theory adheres to the SAGE Harvard reference style. View the SAGE Harvard guidelines to ensure your manuscript conforms to this reference style. | https://uk.sagepub.com/sites/default/files/sage_harvard_reference_style_0.pdf;
European Societies;;;;;;;;;;;;;1;;;;;1;http://www.tandfonline.com/action/authorSubmission?journalCode=reus20&page=instructions#style;Please use this reference guide when preparing your paper | www.tandf.co.uk/journals/authors/style/reference/ref_REUS.pdf  |  Please refer to these quick style guidelines when preparing your paper, rather than any published articles or a sample copy. | https://authorservices.taylorandfrancis.com/tf_quick_guide/ ;
European Sociological Review;;;;;;;;;;;1;;;;;;;0;https://academic.oup.com/esr/pages/General_Instructions;;
Filosofija, Sociologija ;;;;;;;;1;;;;;;;;;;1;https://www.lmaleidykla.lt/ojs/index.php/filosofija-sociologija/about ;The authors are expected to use the Harvard reference system. ;
Food, Culture & Society;;;;;;;;;;;;;1;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rffc20#Style_guidelines;Please use this reference guide when preparing your paper. | www.tandf.co.uk/journals/authors/style/reference/tf_ChicagoAD.pdf | Please refer to these quick style guidelines when preparing your paper, rather than any published articles or a sample copy. | https://authorservices.taylorandfrancis.com/tf_quick_guide/?download=3622;
Gender & Society;;;;;;1;;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/gender-society/journal200793#submission-guidelines;Authors should consult the Chicago Manual of Style, Style B, for citations and references, or refer to the Gender & Society style manual, available here. | These citation guidelines are based on the Chicago Manual of Style, 16TH Edition. For additional information, authors should consult: http://www.chicagomanualofstyle.org/home.html | Gender & Society uses modified Chicago Manual of Style guidelines for bibliographic reference lists. | journals.sagepub.com/pb-assets/PDF/Manuscript%20Formatting%20and%20Preparation%202016.pdf;
Global Networks - A Journal of Transnational Affairs;;;;;;;;;;;;;1;;;;;1;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-0374/homepage/ForAuthors.html;"References should be prepared according to the Publication Manual of the American Psychological Association (6th edition). | For more information about APA referencing style, please refer to the APA FAQ. | Click here for the basic figure requirements for figures submitted with manuscripts for initial peer review, as well as the more detailed post-acceptance figure requirements. | Manuscript Preparation Tips: Wiley has a range of resources for authors preparing manuscripts for submission available here. | https://media.wiley.com/assets/7323/92/electronic_artwork_guidelines.pdf | Manuscript Preparation Tips: Wiley has a range of resources for authors preparing manuscripts for submission available here. | Also, check out our resources for Preparing Your Article for general guidance about writing and preparing your manuscript. |
 https://authorservices.wiley.com/author-resources/Journal-Authors/Prepare/index.html | https://authorservices.wiley.com/author-resources/Journal-Authors/Prepare/manuscript-preparation-guidelines.html/index.html";
Health Sociology Review;;;;;;;;;;;;;1;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rhsr20;Please use this reference guide when preparing your paper. | https://www.tandf.co.uk//journals/authors/style/reference/tf_APA.pdf | Please refer to these quick style guidelines when preparing your paper, rather than any published articles or a sample copy. | https://authorservices.taylorandfrancis.com/tf_quick_guide/;
Human Ecology ;;;;;;;;;;;1;;;;;;;0;https://www.springer.com/journal/10745/submission-guidelines;In general, Human Ecology: An Interdisciplinary Journal follows the recommendations of Style Manual for Biological Journals, published by the American Institute of Biological Sciences, and it is suggested that contributors refer to this publication.;
Human Ecology Review;;1;;;;;;;;;;;;;;;;1;http://www.humanecologyreview.org/contrib.htm;"References should conform to APA style. See below; also see http://www.apastyle.org";
Human Studies;;;;;;;;;;;1;;;;;;;0;https://www.springer.com/journal/10746/submission-guidelines;;
Information, Communication & Society;;;;;;;;;;;;;1;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rics20#Style_guidelines;Please use this reference guide when preparing your paper. | www.tandf.co.uk/journals/authors/style/reference/tf_APA.pdf | Please refer to these quick style guidelines when preparing your paper, rather than any published articles or a sample copy. | https://authorservices.taylorandfrancis.com/tf_quick_guide/;
Innovation: The European Journal of Social Science Research;;;;;;;;;;;;;1;;;;;1;http://www.tandfonline.com/action/authorSubmission?journalCode=ciej20&page=instructions;Please use this reference style guide when preparing your paper. | www.tandf.co.uk/journals/authors/style/reference/tf_ChicagoAD.pdf | Please refer to these style guidelines when preparing your paper, rather than any published articles or a sample copy. | https://authorservices.taylorandfrancis.com/tf_quick_guide/?download=3622;
International Journal of Comparative Sociology;;;;;;;;1;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/journal/international-journal-comparative-sociology#submission-guidelines;International Journal of Comparative Sociology adheres to the SAGE Harvard reference style.;
International Journal of Intercultural Relations;1;;;;;;;;;;;;;;;;;1;https://www.elsevier.com/journals/international-journal-of-intercultural-relations/0147-1767/guide-for-authors;Please keep in mind that the structure is to be stylized according to the APA style guide.;
International Political Sociology;;;;;1;;;;;;;;;;;;;1;https://academic.oup.com/ips/pages/General_Instructions;As of August 2015, submitted manuscripts should follow the Chicago Manual of Style 16th edition.;
International Review for the Sociology of Sport;;;;;;;;;;;;;1;;;;;1;https://us.sagepub.com/en-us/nam/international-review-for-the-sociology-of-sport/journal200937#submission-guidelines;For guidance on the preparation of illustrations, pictures and graphs in electronic format, please visit SAGE’s Manuscript Submission Guidelines | https://us.sagepub.com/en-us/nam/manuscript-submission-guidelines#PreparingYourManuscript | International Review for the Sociology of Sport adheres to the SAGE Harvard reference style. Click here to review the guidelines on SAGE Harvard to ensure your manuscript conforms to this reference style. | https://uk.sagepub.com/sites/default/files/sage_harvard_reference_style_0.pdf | https://studysites.uk.sagepub.com/repository/binaries/pdf/SAGE_Harvard_reference_style.pdf;
International Sociology;;;;;;;;;;;;;1;;;;;1;https://us.sagepub.com/en-us/nam/journal/international-sociology#submission-guidelines;For guidance on the preparation of illustrations, pictures and graphs in electronic format, please visit SAGE’s Manuscript Submission Guidelines. | International Sociology adheres to the SAGE Harvard reference style. Click here to review the guidelines on SAGE Harvard to ensure your manuscript conforms to this reference style. | https://uk.sagepub.com/sites/default/files/sage_harvard_reference_style_0.pdf | https://uk.sagepub.com/en-gb/eur/journal-author-gateway | https://uk.sagepub.com/en-gb/eur/manuscript-submission-guidelines;
Journal for the Scientific Study of Religion;;;;;;1;;;;;;;;;;;;1;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5906/homepage/ForAuthors.html;To facilitate an interdisciplinary format, JSSR continues to correspond closely with the 16th edition of The Chicago Manual of Style (Chicago: University of Chicago Press, 2010).;
Journal of Consumer Culture;;;;;;;;1;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/journal/journal-consumer-culture#submission-guidelines;Journal of Consumer Culture adheres to the SAGE Harvard reference style.;
Journal of Contemporary Ethnography;;;1;;;;;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/journal/journal-contemporary-ethnography#submission-guidelines;Use American Sociological Association (ASA) Style Guide, 5th edition, double-space the manuscript, include references, tables, footnotes, etc and a short informative abstract of approximately 150 words (please attempt to keep footnotes at a minimum).;
Journal for Cultural Economy;;;;;;;;;;;;;1;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rjce20;Please refer to these quick style guidelines when preparing your paper, rather than any published articles or a sample copy. | https://authorservices.taylorandfrancis.com/tf_quick_guide/ | Please use this reference guide when preparing your paper. | www.tandf.co.uk/journals/authors/style/layout/tf_1.pdf;
Journal of Historical Sociology;;;;;;;;;;;;;;;1;;;1;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6443/homepage/ForAuthors.html;We ask that authors use either APA “(Author, date)” in-text references or numbered endnotes. Please check the very latest referencing updates. | Visit http://authorservices.wiley.com/bauthor for more details on online production tracking and for a wealth of resources including FAQs and tips on article preparation, submission and more. | https://authorservices.wiley.com/home.html | https://authorservices.wiley.com/author-resources/Journal-Authors/Prepare/index.html | https://authorservices.wiley.com/author-resources/Journal-Authors/Prepare/manuscript-preparation-guidelines.html/index.html;
Journal of Law and Society;;;;;;;;;;;;1;;;;;;0;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6478/homepage/ForAuthors.html;Please familiarize yourself with the Journal Style Guide before submitting your paper.  |onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6478/homepage/JLS_Condensed_Style_Guide.pdf;
Journal of Leisure Research;1;;;;;;;;;;;;;;;;;1;http://www.nrpa.org/publications-research/nrpa-journals/jlr/editorial-board/;Please prepare your manuscript according to the Publication Manual of the American Psychological Association (APA 6th ed.).|https://www.nrpa.org/contentassets/88728f4e0bff4f5fa1c60a3d641a6434/jlr-instructions-for-authors.pdf ;
Journal of Marriage and Family;1;;;;;;;;;;;;;;;;;1;https://www.ncfr.org/jmf/submit-jmf/jmf-style-guide;The Journal of Marriage and Family (JMF) follows the American Psychological Association (APA) style, with some exceptions noted below. All page references are to the sixth edition of the APA Publication Manual. ;
Journal of Mathematical Sociology;;;;;;;;;;;;;1;;;;;1;http://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gmas20;Please refer to these quick style guidelines when preparing your paper, rather than any published articles or a sample copy. | https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gmas20 | Please use this reference guide when preparing your paper.|https://www.tandf.co.uk//journals/authors/style/reference/tf_APA.pdf ;
Journal of Sociology;;;;;;;;;;1;;;;;;;;1; https://us.sagepub.com/en-us/nam/journal/journal-sociology#submission-guidelines;For general style conventions please consult the Style Manual for Authors, Editors and Printers, Canberra: Australian Government Publishing Service, 5th Edition (revised) 1998. ;
Journal of Sport & Social Issues;1;;;;;;;;;;;;;;;;;1;https://us.sagepub.com/en-us/nam/journal-of-sport-and-social-issues/journal200897#submission-guidelines;Manuscripts should be prepared using the APA Style Guide (Sixth Edition).|Contributors should follow the style guidelines of the Publication Manual of the American Psychological Association. ;
Journal of the History of Sexuality;;;;;1;;;;;;;;;;;;;1;https://utpress.utexas.edu/journals/journal-of-the-history-of-sexuality;The journal relies upon the Chicago Manual of Style, 16th edition, and it is advisable (though not required) to conform to the following style requirements of the JHS even before the review process:|The journal relies upon the Chicago Manual of Style, 17th edition, and we ask that authors conform to the following style requirements of the JHS before the review process:;
